match_id,competition,season_year,matchday,kickoff,home_team,home_team_logo,away_team,away_team_logo,stadium_official,stadium_sponsor,status,round
2045733,UEL,2026,MD1,2025-08-07T18:30:00Z,Servette,https://img.uefa.com/imgml/TP/teams/logos/700x700/50008.png,Utrecht,https://img.uefa.com/imgml/TP/teams/logos/700x700/52323.png,Stade de Genève,Stade de Genève,FINISHED,Third qualifying round
2045728,UEL,2026,MD1,2025-08-07T18:30:00Z,FCSB,https://img.uefa.com/imgml/TP/teams/logos/700x700/50065.png,Drita,https://img.uefa.com/imgml/TP/teams/logos/700x700/2608290.png,National Arena,National Arena Bucharest,FINISHED,Third qualifying round
2045735,UEL,2026,MD1,2025-08-07T18:00:00Z,Panathinaikos,https://img.uefa.com/imgml/TP/teams/logos/700x700/50084.png,Shakhtar,https://img.uefa.com/imgml/TP/teams/logos/700x700/52707.png,"Olympic Athletic Center of Athens ""Spyros Louis""","Olympic Athletic Center of Athens ""Spyros Louis""",FINISHED,Third qualifying round
2045727,UEL,2026,MD1,2025-08-07T18:00:00Z,Zrinjski,https://img.uefa.com/imgml/TP/teams/logos/700x700/73390.png,Breiðablik,https://img.uefa.com/imgml/TP/teams/logos/700x700/71235.png,Stadium of HŠK Zrinjski,Stadium of HSK Zrinjski,FINISHED,Third qualifying round
2045732,UEL,2026,MD1,2025-08-07T17:30:00Z,PAOK,https://img.uefa.com/imgml/TP/teams/logos/700x700/50130.png,Wolfsberger,https://img.uefa.com/imgml/TP/teams/logos/700x700/2603990.png,Toumba Stadium,Toumba Stadium,FINISHED,Third qualifying round
2045734,UEL,2026,MD1,2025-08-07T17:00:00Z,Häcken,https://img.uefa.com/imgml/TP/teams/logos/700x700/69621.png,Brann,https://img.uefa.com/imgml/TP/teams/logos/700x700/52770.png,Hisingen Arena,Bravida Arena,FINISHED,Third qualifying round
2045731,UEL,2026,MD1,2025-08-07T16:30:00Z,CFR Cluj,https://img.uefa.com/imgml/TP/teams/logos/700x700/88131.png,Braga,https://img.uefa.com/imgml/TP/teams/logos/700x700/52336.png,Stadionul Dr. Constantin Rădulescu,N/A,FINISHED,Third qualifying round
2045729,UEL,2026,MD1,2025-08-07T16:30:00Z,AEK Larnaca,https://img.uefa.com/imgml/TP/teams/logos/700x700/54191.png,Legia Warszawa,https://img.uefa.com/imgml/TP/teams/logos/700x700/50146.png,AEK Arena,AEK Arena,FINISHED,Third qualifying round
2045730,UEL,2026,MD1,2025-08-07T16:00:00Z,Fredrikstad,https://img.uefa.com/imgml/TP/teams/logos/700x700/64211.png,Midtjylland,https://img.uefa.com/imgml/TP/teams/logos/700x700/75795.png,Fredrikstad,Fredrikstad,FINISHED,Third qualifying round
2045723,UEL,2026,MD1,2025-08-07T16:00:00Z,L. Red Imps,https://img.uefa.com/imgml/TP/teams/logos/700x700/2605572.png,Noah,https://img.uefa.com/imgml/TP/teams/logos/700x700/2609987.png,Europa Point Stadium,Europa Point Stadium,FINISHED,Third qualifying round
2045724,UEL,2026,MD1,2025-08-06T18:45:00Z,Rijeka,https://img.uefa.com/imgml/TP/teams/logos/700x700/52356.png,Shelbourne,https://img.uefa.com/imgml/TP/teams/logos/700x700/53020.png,Stadion HNK Rijeka,Stadion HNK Rijeka,FINISHED,Third qualifying round
2045725,UEL,2026,MD1,2025-08-06T17:00:00Z,RFS,https://img.uefa.com/imgml/TP/teams/logos/700x700/2609104.png,KuPS Kuopio,https://img.uefa.com/imgml/TP/teams/logos/700x700/52350.png,LNK Sporta Parks,-,FINISHED,Third qualifying round
2045726,UEL,2026,MD1,2025-08-05T17:00:00Z,Hamrun Spartans ,https://img.uefa.com/imgml/TP/teams/logos/700x700/50060.png,M. Tel-Aviv,https://img.uefa.com/imgml/TP/teams/logos/700x700/57477.png,Tony Bezzina Stadium,Tony Bezzina Stadium,FINISHED,Third qualifying round
2045411,UEL,2026,MD2,2025-07-31T19:00:00Z,Hibernian,https://img.uefa.com/imgml/TP/teams/logos/700x700/52821.png,Midtjylland,https://img.uefa.com/imgml/TP/teams/logos/700x700/75795.png,Easter Road Stadium,none,FINISHED,Second qualifying round
2045408,UEL,2026,MD2,2025-07-31T19:00:00Z,Legia Warszawa,https://img.uefa.com/imgml/TP/teams/logos/700x700/50146.png,Baník Ostrava,https://img.uefa.com/imgml/TP/teams/logos/700x700/51886.png,The Marshall Józef Piłsudski's Municipal Stadium of Legia Warsaw,The Marshall Józef Piłsudski's Municipal Stadium of Legia Warsaw,FINISHED,Second qualifying round
2045407,UEL,2026,MD2,2025-07-31T19:00:00Z,Braga,https://img.uefa.com/imgml/TP/teams/logos/700x700/52336.png,Levski Sofia,https://img.uefa.com/imgml/TP/teams/logos/700x700/50044.png,Estádio Municipal de Braga,Estádio Municipal de Braga,FINISHED,Second qualifying round
2045412,UEL,2026,MD2,2025-07-31T18:00:00Z,Shakhtar,https://img.uefa.com/imgml/TP/teams/logos/700x700/52707.png,Beşiktaş,https://img.uefa.com/imgml/TP/teams/logos/700x700/50157.png,Municipal Henryk Reyman’s Stadium in Krakow,Telefonika Kable SA ,FINISHED,Second qualifying round
2045410,UEL,2026,MD2,2025-07-31T18:00:00Z,Utrecht,https://img.uefa.com/imgml/TP/teams/logos/700x700/52323.png,Sheriff,https://img.uefa.com/imgml/TP/teams/logos/700x700/69606.png,Stadion Galgenwaard,Stadion Galgenwaard,FINISHED,Second qualifying round
2045405,UEL,2026,MD2,2025-07-31T17:30:00Z,CFR Cluj,https://img.uefa.com/imgml/TP/teams/logos/700x700/88131.png,Lugano,https://img.uefa.com/imgml/TP/teams/logos/700x700/8538.png,Stadionul Dr. Constantin Rădulescu,N/A,FINISHED,Second qualifying round
2045409,UEL,2026,MD2,2025-07-31T17:00:00Z,Häcken,https://img.uefa.com/imgml/TP/teams/logos/700x700/69621.png,Anderlecht,https://img.uefa.com/imgml/TP/teams/logos/700x700/50074.png,Hisingen Arena,Bravida Arena,FINISHED,Second qualifying round
2045406,UEL,2026,MD2,2025-07-31T16:30:00Z,AEK Larnaca,https://img.uefa.com/imgml/TP/teams/logos/700x700/54191.png,Celje,https://img.uefa.com/imgml/TP/teams/logos/700x700/59030.png,AEK Arena,AEK Arena,FINISHED,Second qualifying round
2045397,UEL,2026,MD1,2025-07-24T18:30:00Z,Lugano,https://img.uefa.com/imgml/TP/teams/logos/700x700/8538.png,CFR Cluj,https://img.uefa.com/imgml/TP/teams/logos/700x700/88131.png,Arena Thun,Stockhornarena,FINISHED,Second qualifying round
2045404,UEL,2026,MD1,2025-07-24T18:00:00Z,Beşiktaş,https://img.uefa.com/imgml/TP/teams/logos/700x700/50157.png,Shakhtar,https://img.uefa.com/imgml/TP/teams/logos/700x700/52707.png,Beşiktaş Stadium,Beşiktaş Park,FINISHED,Second qualifying round
2045401,UEL,2026,MD1,2025-07-24T18:00:00Z,Anderlecht,https://img.uefa.com/imgml/TP/teams/logos/700x700/50074.png,Häcken,https://img.uefa.com/imgml/TP/teams/logos/700x700/69621.png,RSC Anderlecht Stadium,Lotto Park,FINISHED,Second qualifying round
2045398,UEL,2026,MD1,2025-07-24T18:00:00Z,Celje,https://img.uefa.com/imgml/TP/teams/logos/700x700/59030.png,AEK Larnaca,https://img.uefa.com/imgml/TP/teams/logos/700x700/54191.png,Stadion Celje,Stadion Z’dežele,FINISHED,Second qualifying round
2045403,UEL,2026,MD1,2025-07-24T17:30:00Z,Midtjylland,https://img.uefa.com/imgml/TP/teams/logos/700x700/75795.png,Hibernian,https://img.uefa.com/imgml/TP/teams/logos/700x700/52821.png,Arena Herning,MCH Arena,FINISHED,Second qualifying round
2045399,UEL,2026,MD1,2025-07-24T17:30:00Z,Levski Sofia,https://img.uefa.com/imgml/TP/teams/logos/700x700/50044.png,Braga,https://img.uefa.com/imgml/TP/teams/logos/700x700/52336.png,Georgi Asparuhov Stadium,VIVACOM ARENA,FINISHED,Second qualifying round
2045402,UEL,2026,MD1,2025-07-24T17:00:00Z,Sheriff,https://img.uefa.com/imgml/TP/teams/logos/700x700/69606.png,Utrecht,https://img.uefa.com/imgml/TP/teams/logos/700x700/52323.png,Nisporeni Central,Nisporeni Central,FINISHED,Second qualifying round
2045400,UEL,2026,MD1,2025-07-24T17:00:00Z,Baník Ostrava,https://img.uefa.com/imgml/TP/teams/logos/700x700/51886.png,Legia Warszawa,https://img.uefa.com/imgml/TP/teams/logos/700x700/50146.png,Městský Stadion,Městský Stadion,FINISHED,Second qualifying round
2045317,UEL,2026,MD2,2025-07-17T19:00:00Z,Partizan,https://img.uefa.com/imgml/TP/teams/logos/700x700/50162.png,AEK Larnaca,https://img.uefa.com/imgml/TP/teams/logos/700x700/54191.png,Stadion FK Partizan,Stadion FK Partizan,FINISHED,First qualifying round
2045316,UEL,2026,MD2,2025-07-17T18:00:00Z,H. Beer-Sheva,https://img.uefa.com/imgml/TP/teams/logos/700x700/59340.png,Levski Sofia,https://img.uefa.com/imgml/TP/teams/logos/700x700/50044.png,Nyíregyházi Stadion,Nyíregyházi Stadion,FINISHED,First qualifying round
2045314,UEL,2026,MD2,2025-07-17T18:00:00Z,Celje,https://img.uefa.com/imgml/TP/teams/logos/700x700/59030.png,Sabah,https://img.uefa.com/imgml/TP/teams/logos/700x700/2609356.png,Stadion Celje,Stadion Z’dežele,FINISHED,First qualifying round
2045312,UEL,2026,MD2,2025-07-17T18:00:00Z,Prishtina,https://img.uefa.com/imgml/TP/teams/logos/700x700/2608287.png,Sheriff,https://img.uefa.com/imgml/TP/teams/logos/700x700/69606.png,Stadiumi Fadil Vokrri,Stadiumi Fadil Vokrri,FINISHED,First qualifying round
2045318,UEL,2026,MD2,2025-07-17T17:30:00Z,CFR Cluj,https://img.uefa.com/imgml/TP/teams/logos/700x700/88131.png,Paksi,https://img.uefa.com/imgml/TP/teams/logos/700x700/93452.png,Stadionul Dr. Constantin Rădulescu,N/A,FINISHED,First qualifying round
